"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
RM6008,Contract,"Crown Commercial Service",Closed,2018-04-11T14:14:43Z,"Management Consultancy Framework Two (MCF2)","Crown Commercial Service (CCS) wishes to establish a pan government Framework Agreement for use by UK public sector bodies which include Central Government Departments and their Arm Length Bodies and Agencies, the wider public sector and third sector including, including but not limited to, local government, health, education, police, fire and rescue, housing associations and charities. This agreement will complement the Management Consultancy Framework Agreement (RM3745), which is managed by CCS. Scope of assignments may be national or international.

Please note that this procurement is for professional services and not contingent workforce.",,,"Any region","66121000 71241000 72100000 72200000 72600000 79311400 79400000 98200000 ",,supplier@crowncommercial.gov.uk,"9th Floor The Capital","Old Hall Street",Liverpool,"L3 9PP",England,+4403450103503,www.gov.uk/ccs,"Attachment 1 Contract Notice Authorised Customer List.docx Attachment 2 Contract Notice Transparency Information.docx ",,,22/08/2018,21/08/2020,18/05/2018,NO,,Yes,No,No,Services,2000000000000,0,,,,,,,"OpenOJEU ",
"TR5 - Offshore Transmission Owner (OFTO) tenders",Contract,"Office Of Gas & Electricity Markets",Closed,2016-10-13T16:24:48Z,"Tender Round 5 (TR5) for the grant of offshore transmission licences","TR5 consists of 5 projects, which are being tendered in 2 Groups. This notice concerns Group 1 which consists of the Dudgeon, Rampion and Race Bank projects. Further details on TR5 and how to participate can be found on the Ofgem website (see ‘Attachments’ section of this notice for URL links).",,,"East of England,South East","65300000 ",,tendercoordinator@ofgem.gov.uk,"Office of Gas and Electricity Markets","9 Millbank",London,SW1P3GE,England,,https://www.ofgem.gov.uk/,,"https://www.ofgem.gov.uk/system/files/docs/2016/10/tr5_epq_document_-_final.pdf https://www.ofgem.gov.uk/electricity/transmission-networks/offshore-transmission https://www.ofgem.gov.uk/electricity/transmission-networks/offshore-transmission/offshore-transmission-tenders/tender-round-5 https://ofgem.bravosolution.co.uk ","The type of procedure to be adopted is a competitive procedure with negotiation. The subject matter of this notice is the proposed grant of an offshore transmission licence to a successful bidder(s) for the purpose of connecting a wind farm(s) to the GB onshore grid. Tender Round 5 (TR5) consists of five projects which are split into 2 groups. Group 1 consists of 3 projects and Group 2 consists of 2 projects. This notice relates to Group 1 only. A transmission licence is expected to be granted for each project. High level details about the projects are as follows: Project: Dudgeon; Developer: Statoil, Masdar and Statkraft; Limited Capacity(MW): 402 Project: Race Bank; Developer: DONG Energy; Limited Capacity(MW): 573 Project: Rampion; Developer: EON, Enbridge and Green Investment Bank; Limited Capacity(MW): 400.

Requests to participate/EPQ submissions must be made electronically by 12:00 (local time), 02/12/2016. See the above links for how to do this.

Please note that the  information contained in the fields ‘contract start date’, ‘Contract end date’ and ‘Lowest/actual value (£)’ in section 1 of this notice are indicative only. Please consult the tender documentation for further details. ",01/10/2017,01/10/2037,02/12/2016,NO,,No,No,No,Services,1200000000000,0,,,,,,,"Negotiated ",
BIP366166887,Contract,"Poole Hospital NHS Foundation Trust",Awarded,2019-01-27T11:07:24Z,"Approved Contractor Framework List for Works","Poole Hospital NHS Foundation Trust is looking to set up a Approved contractor framework list for Works to
      be completed in the Trust. This is also potentially open to other Dorset Wide Trust. Estimate spend for Poole
      Hospital NHS Foundation Trust is around 4 000 000 other 4 000 000 is incorporating the other Dorset Wide
      Trust. Expected framework 1.1.2019 - 31.12.2022",,,"South West","45000000 ",,tracey.constant@poole.nhs.uk,"Longfleet Road",null,Poole,"BH15 2JB",UK,+441202448529,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=366166887 ",,01/01/2019,31/12/2023,14/12/2018,NO,,Yes,No,No,Works,67000000000,0,14/12/2018,67000000000,"[Mitie Property Services (UK) Ltd|Level 12, The Shard  32 London Bridge Street
        London
        SE1 9SG|NONE||No|No][Spetisbury Construction Ltd.|BYTHEWAY
        LEIGH ROAD
        WIMBORNE
        DORSET
        BH21 2BY|NONE||No|No][Hampshire Partitioning Contracts Ltd|18 Monks Brook Park,
        School Close,
        Chandlers Ford,
        Hampshire,
        SO53 4RA|NONE||No|No][Corrigenda Limited|Unit 3 Mitchell Close ,
        Segensworth East Fareham,
        Hampshire 
        PO15 5SE|NONE||No|No][Spetisbury Construction Ltd.|Bytheway,
        Leigh Road,
        Wimborne,
        Dorset,
        BH21 2BY|NONE||No|No][D R Jones Yeovil Ltd|Willow House 
        ,Artillery Road, 
        Lufton Trading Estate ,Yeovil,
         Somerset,
         BA22 8RP|NONE||No|No][Westmade Ltd|St Mary's House,
        Netherhampton,
        Salisbury,
        Wiltshire,
        SP2 8PU|NONE||No|No][Southern Fire Doors Ltd|Unit 4 Hamilton Business Park,
        Hampshire,
        New Milton,
        BH25 6TL|NONE||No|No][Spetisbury Construction Ltd|Bytheway,
        Leigh Road,
        Wimborne,
        Dorset,
        BH21 2BY|NONE||No|No][Spetisbury Construction Ltd.|Bytheway,
        Leigh Road,
        Wimborne,
        Dorset,
        BH21 2BY|NONE||No|No][Westmade Ltd|St Mary's House,
        Netherhampton,
        Salisbury,
        Wiltshire,
        SP2 8PU|NONE||No|No][Westmade Ltd|St Mary's House,
        Netherhampton,
        Salisbury,
        Wiltshire,
        SP2 8PU|NONE||No|No][Mountjoy Ltd|Harvest Crescent ,
        Fleet ,
        Hampshire
        GU51 2UZ|NONE||No|No][Randell & Co Builders Ltd|73 Clarendon Road,
        Christchurch,
        Dorset,
        Dorset,
        BH23 2AD|NONE||No|No][Countrywide Grounds Maintenance Limited|12 New Fetter Lane,
        London,
        EC4A 1JP|NONE||No|No][Spetisbury Construction Ltd.|Bytheway,
        Leigh Road,
        Wimborne,
        Dorset,
        BH21 2BY|NONE||No|No][Corrigenda Limited|Unit 3 Mitchell Close 
        ,Segensworth East Fareham,
        Hampshire ,
        PO15 5SE|NONE||No|No][Hampshire Partitioning Contracts Ltd|18 Monks Brook Park,
        School Close,
        Chandlers Ford,
        Hampshire,
        SO53 4RA|NONE||No|No][Spetisbury Construction Ltd.|Bytheway,
        Leigh Road,
        Wimborne,
        Dorset,
        BH21 2BY|NONE||No|No][Clearview Surveys Limited|Unit 301 Old Barn Farm Road 
        Wimborne
        BH21 6SP|NONE||No|No][European Asbestos Services|8th Floor,
        Becket House,
        36-37 Old Jewry ,
        London
         EC2R 8DD|NONE||No|No][D R Jones Yeovil Ltd|Willow House ,
        Artillery Road,
         Lufton Trading Estate ,
        Yeovil, 
         BA22 8RP|NONE||No|No][CLC Contractors Limited|Northbrook Industrial Estate,
        Vincent Avenue,
        Southampton,
        Hampshire,
        SO16 6PB|NONE||No|No][Metro Rod Ltd|5 Hoo Farm Industrial Estate,
        Kidderminster,
        Worcestershire,
        DY11 7RA|NONE||No|No][Hampshire Partitioning Contracts Ltd|18 Monks Brook Park
        School Close,
        Chandlers Ford,
        Hampshire,
        SO53 4RA|NONE||No|No][KC Carpets and Flooring Ltd|7 Didcot Road,
        Nuffield Industrial Estates,
        Poole,
        Dorset,
        BH17 OGD|NONE||No|No][G&L Consultancy Ltd|Chelston Business Park ,
        Wellington ,
        Somerset ,
        TA21 9JQ|NONE||No|No][D&B Mechanical Ltd|1A Putton Lane
        Lynch Lane offices,
        79 Lynch Lane,
        Weymouth, Dorset,
        DT4 9DW|NONE||No|No][NPS Contracts Ltd|65 Lilliput Road
        Lillitput
        Poole
        Dorset
        BH14 8JX|NONE||No|No][Spetisbury Construction Ltd.|Bytheway,
        Leigh Road,
        Wimborne, Dorset, BH21 2BY
        Dorset,
        BH21 2BY|NONE||No|No]",,01/01/2019,31/12/2023,"Open ",
RM3702,Contract,"CROWN COMMERCIAL SERVICE",Closed,2015-10-19T13:13:04Z,"Merchant Acquiring Services","Crown Commercial Service (the Authority) is putting in place a Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which include Central Government Departments and their Arm’s Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities.

The above public sector bodies have a need for merchant acquiring services, merchant acquiring equipment, and payment gateway services. 

The Services within the scope of this Framework Agreement have been sub-divided into 3 Lots:

Lot 1: A multi-Supplier Lot for the provision of merchant acquiring services and merchant acquiring equipment

Lot 2: A multi-Supplier Lot for the provision of merchant acquiring services and payment gateway services

Lot 3: A multi-Supplier Lot for the provision of merchant acquiring services, merchant acquiring equipment, and payment gateway services. 

This Framework Agreement will replace the existing Merchant Acquirer Service framework agreement (PS/09/93) which expires on 8th March 2016. The existing framework agreement is a single-supplier agreement for merchant acquiring services and merchant acquiring equipment. While Lot 1 of this Framework Agreement is similar in scope to the existing framework agreement, the scope of the Services available under Lot 2 and Lot 3 of this Framework Agreement are wider than the existing framework agreement in that payment gateway services will be included. In light of the increased scope of services, the Authority takes the view that it is unlikely that the Transfer of Undertakings (Protection of Employment) Regulations 2006 (“TUPE”) will apply to this Framework Agreement or when any of the existing call-off contracts come to an end. The incumbent supplier has also confirmed that it does not believe TUPE will apply to this Framework Agreement or any resulting Call-Off Contracts as there is no organised grouping of employees dedicated to providing the services. Potential Providers are therefore required to bid on the basis that TUPE will not apply at Framework Agreement or call-off stage. 

Potential Providers are permitted to bid for all or any combination of the 3 Lots. However, in order to ensure that the Framework Agreement benefits from a diverse range of providers of payment gateway services, if a Potential Provider is awarded a Framework Agreement for Lot 3, the same Potential Provider will not be permitted to be awarded a Framework Agreement for Lot 2. 

Where a Potential Provider is successful in Lot 3 and has also submitted a Tender for Lot 2, the Potential Provider’s Tender for Lot 2 will be excluded from consideration for the Procurement for Lot 2. 

Crown Commercial Service reserves the right for an electronic auction to be held by Public Sector bodies during further competition among the parties to the Framework Agreement(s).",,,"Any region","66110000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital","Old Hall Street",Liverpool,"L9 3PP",England,"0345 010 3503",www.gov.uk/ccs,"Attachment 3 - Award Questionnaire and Evaluation Guidance v1.0.pdf Attachment 15 - Lot 2 Pricing Day 2 Settlement v1.0.xlsx Attachment 7 - Declaration of Compliance v1.0.pdf Attachment 16 - Lot 2 Pricing Day 7 Settlement v1.0.xlsx Attachment 18 - Lot 3 Pricing Day 2 Settlement v1.0.xlsx Attachment 20 - Lot 3 Pricing Day 14 Settlement v1.0.xlsx Attachment 10 - Financial Assessment Template v1.0.xlsx Attachment 2 - Participation Requirements and Selection Questionnaire and Guidance v1.0.pdf Attachment 1 - Invitation to Tender v1.0.pdf MA PIN 2014-OJS205-363041-en.pdf Attachment 13 - Lot 1 Pricing Day 7 Settlement  v1.0.xlsx Attachment 4 - Framework Agreement v1.0.docx Attachment 11 - Framework Population Template v1.0.docx Attachment 14 - Lot 1 Pricing Day 14 Settlement v1.0.xlsx Attachment 6 - Terms of Participation v1.0.pdf Attachment 5 - Order Form and Call Off Contract v1.0.docx Attachment 9 - Framework Schedule 2 Part A (Specifciation) v1.0.pdf Attachment 17 - Lot 2 Pricing Day 14 Settlement v1.0.xlsx Attachment 19 - Lot 3 Pricing Day 7 Settlement v1.0.xlsx Attachment 12 - Lot 1 Pricing Day 2 Settlement v1.0.xlsx ",,,01/02/2016,01/02/2018,16/11/2015,NO,,Yes,No,No,Services,30000000000,72000000000,,,,,,,"Open ",
"RM6088 *",Contract,"Crown Commercial Service",Closed,2019-03-25T10:21:23Z,"Construction Works and Associated Services","Crown Commercial Service (CCS) intends to put in place a Framework Agreement for the provision of Construction Works and Associated Services for use by eligible Central Government Departments and all other UK Public Sector Bodies, including Local Authorities, Health, Police, Fire and Rescue, Education and Devolved Administrations.

The full scope of the Works and Associated Services is contained within Attachment 1a-Specification. The Works and Associated Services to be covered by this procurement will be divided into Lots. There are thirty eight (38) Lots in total. For the detailed structure please refer to Attachment 1 (About the CCS Construction Works and Associated Services Framework Alliance Contract).",,,"Any region","31000000 45000000 51000000 71000000 ",,supplier@crowncommercial.gov.uk,"9th Floor, The Capital,","Old Hall Street",Liverpool,"L3 9PP",England,+443450103503,https://www.gov.uk/ccs,"Attachment 1b - Annex A - Works and Services - Project Type v1.0 (Final).pdf Attachment 1c - Annex B - Works and Services - Service Requirements v1.0 (Final).pdf Attachment 1d - Annex C - Procurement Routes v1.0 (Final).pdf Attachment 1e - Annex D - Security Requirements v1.0 (Final).pdf Attachment 3n - Pricing Fluctuations Version 1.pdf Attachment 5 - Financial Assessment Template Version 1.xlsx Attachment 6 - Group or Consortium Details Version 1.xlsx Attachment 7 - Key Subcontractor Details Version 1.xlsx Attachment 9 - CCS Construction Works and Associated Services Framework Alliance Contract Population Template Version 1.doc Attachment 10 - Security Guidance Version 1.pdf Attachment 12 - CCS Offer Document Version 1.docx Attachment 13 - Draft MI Template v1.0.xls 2. Contract Notice Authorised Customer List.pdf 1. Contract Notice Transparency Information for CCS Framework.pdf 3. Reserved rights for CCS Framework.pdf Attachment 2c - Schedule of Experience.xlsx Attachment 2b - Certificate of Past Performance v3.docx Attachment 4 - Information and Declaration Workbook Version 2.xlsx Attachment 2a - Selection Questionnaire v4.xlsx Attachment 8 - Supplier Guidance Version 2.pdf Attachment 1a - Specification v6.0.pdf Attachment 2 - How to bid v3.0.pdf Attachment 1 - READ FIRST About the CCS Construction Works and Associated Services Framework Alliance Contract v3.0.pdf Attachment 2a - Selection Questionnaire v8.xlsx Attachment 3m - Pricing Model and Price Evaluation Guidance - Version 3.pdf Attachment 3 (a-l) Price Model Workbook - Lots 1-11.zip JCT Prime Cost Building Contract 2016.pdf ","https://ted.europa.eu/udl?uri=TED:NOTICE:54274-2019:TEXT:EN:HTML https://ted.europa.eu/udl?uri=TED:NOTICE:572191-2018:TEXT:EN:HTML ","Due to the size of the document suite, Attachment 11 is accessible in addition to the tender documents available here for unrestricted and full direct access, free of charge at:

https://crowncommercialservice.bravosolution.co.uk

Tender or requests to participate must be submitted electronically. To express your interest in this procurement:

1.Login to the BravoSolution eSourcing Suite portal: https://crowncommercialservice.bravosolution.co.uk
2. On the dashboard there is a quick links portlet, click on My ITTs.
3. On the next screen click on ITTs open to all suppliers.
4. The RM6088 eSourcing Platform ITT will be displayed.
Note: There may also be other events listed on here. Click on the RM6088 eSourcing Platform ITT name.
5. Click on Express Interest at the top of the next screen
6. You can now access the published documents in the BravoSolution portal.

For assistance please contact the eSourcing help-desk operated by BravoSolution by email at: help@bravosolution.co.uk or by telephone at: 0345 010 3503.

Attached Documentation:

1. Contract Notice Transparency Information for CCS Framework
2. Contract Notice Authorised Customer List
3. Reserved rights for CCS Framework

CCS will host a Bidders' Conference via a webinar, to provide further clarity to bidders on matters relating to the procurement and the tender requirements. 

The Bidders' Conference will take place on 8.2.2019. 

In order to participate in this event bidders must register their interest via the Construction Mailbox:

construction@crowncommercial.gov.uk",23/09/2019,23/09/2026,29/03/2019,NO,,Yes,No,No,Works,30000000000,0,,,,,,,"OpenOJEU ",
BIP193076081,Contract,"Genesis Housing Association",Closed,2016-03-07T13:27:01Z,"Framework for the supply of non half hourly electricity, half hourly electricity and natural gas","
Text to be corrected in the original notice:
Place of text to be modified: 
Instead of: Provide evidence of a turnover being in excess of GBP20 million as indicated in the latest audited accounts.
Read: Provide evidence of a turnover being in excess of GBP1 million as indicated in the latest audited accounts.
Other additional information: The Authority wishes to establish a Framework Agreement for use by the following UK public sector bodies (and any future successors to these organisations): 

Central Government Departments, Local Government and Public Corporations that can be accessed at the Public Sector Classification Guide 
http://www.ons.gov.uk/ons/publications/re-reference-tables.html?edition=tcm%3A77-322090 

Local Authorities 
http://openlylocal.com/councils/all 

NDPBs 
http://www.civilservice.gov.uk/recruitment/departments-and-accredited-ndpbs/a-f
 http://www.civilservice.gov.uk/recruitment/departments-and-accredited-ndpbs/g-l 
http://www.civilservice.gov.uk/recruitment/departments-and-accredited-ndpbs/m-r 
http://www.civilservice.gov.uk/recruitment/departments-and-accredited-ndpbs/s-z 

National Parks Authorities 
http://www.nationalparks.gov.uk/ 

Educational Establishments in England and Wales, maintained by the Department for Children, Schools and Families including Schools, Universities and Colleges but not Independent Schools
http://www.education.gov.uk/edubase/home.xhtml

Police Forces in the United Kingdom 
http://www.police.uk/?view=force_sites

Fire and Rescue Services in the United Kingdom
http://www.fireservice.co.uk/information/ukfrs 
http://dontgivefireahome.org/contacts

NHS Bodies England
 http://www.nhs.uk/ServiceDirectories/Pages/AcuteTrustListing.aspx 
http://www.nhs.uk/servicedirectories/Pages/PrimaryCareTrustListing.aspx 
http://www.nhs.uk/ServiceDirectories/Pages/MentalHealthTrustListing.aspx 
http://www.nhs.uk/ServiceDirectories/Pages/CareTrustListing.aspx 
http://www.nhs.uk/ServiceDirectories/Pages/AmbulanceTrustListing.aspx 
http://www.nhs.uk/ServiceDirectories/Pages/StrategicHealthAuthorityListing.aspx 
http://www.nhs.uk/ServiceDirectories/Pages/SpecialHealthAuthorityListing.aspx 
http://www.nhs.uk/ServiceDirectories/Pages/OtherListing.aspx 

Hospices in the UK 
http://www.helpthehospices.org.uk/about-hospice-care/find-a-hospice/uk-hospice-and-palliative-careservices/ 

Registered Social Landlords (Housing Associations) 
https://www.gov.uk/government/publications/current-registered-providers-of-social-housing
http://www.almos.org.uk/members
http://www.nhfdirectory.co.uk/?_ga=1.213077206.39239207.1456399906
http://www.direct.gov.uk/en/Dl1/Directories/Localcouncils/index.htm
http://chcymru.org.uk/en/members
http://www.sfha.co.uk/component/option,com_membersdir/Itemid,149/view,membersdir/
http://www.nifha.org/membership/hamembers/

Third Sector and Charities in the United Kingdom 
http://www.charity-commission.gov.uk/ 
http://www.oscr.org.uk/ 
http://www.chari",,,"Any region","09310000 09000000 09123000 ","David Rasey",ojeu@monarchpartnership.co.uk,"Atelier House","64 Pratt Streeet",London,"NW1 0DL",UK,+442088353535,,,"https://www.delta-esourcing.com/tenders/UK-UK-London:-Petroleum-products%2C-fuel%2C-electricity-and-other-sources-of-energy./9RUHJ564AR ",,02/05/2016,01/05/2020,04/04/2016,NO,,No,No,No,Products,15000000000,0,,,,,,,"Open ",
BIP204647713,Contract,"Genesis Housing Association",Awarded,2016-06-05T11:06:03Z,"Framework for the supply of non half hourly electricity, half hourly electricity and natural gas","Genesis Housing Association (Authority) has appointed The Monarch Partnership (Agent) to establish a framework agreement for the provision of fixed, flexible and basket energy procurement solutions for non half hourly electricity, half hourly electricity and natural gas. 

It is intended that only Ofgem licensed suppliers will be eligible to participate in this framework agreement. 

This framework will be accessible to all the contracting authorities as listed in this notice.",,,"Any region","09000000 ","David Rasey",ojeu@monarchpartnership.co.uk,"Atelier House","64 Pratt Streeet",London,"NW1 0DL",UK,+442088353535,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=204647713 ",,02/06/2016,01/06/2020,16/05/2016,NO,,No,No,No,Products,15000000000,0,16/05/2016,15000000000,"[Engie Power Limited|No.1 Leeds
2b Whitehall Road
Leeds
LS12 1BE|||No|No][Gazprom Energy|Triton Street
London
NW1 3BF|||No|No][Total Gas and Power Limited|13th Floor
Canary Wharf
London
E14 5BF|||No|No][Total Gas and Power Limited|13th Floor
Canary Wharf
London
E14 5BF|||No|No]",,02/06/2016,01/06/2020,"Open ",
"RM 3749",Contract,"CROWN COMMERCIAL SERVICE",Closed,2017-05-12T11:42:09Z,"Public Sector Resourcing","Crown Commercial Service (CCS) is putting in place a pan government collaborative Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which includes Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS Bodies and Local Authorities. This Procurement will establish a single supplier public sector Framework Agreement for the supply of Contingent Workers. Under this Framework Agreement, the Service Provider shall not be eligible itself to supply Workers through the Agency Supply Route to Talent and the Service Provider shall not be permitted to be an Agency Provider from its own business (or any affiliated businesses). The Framework Agreement duration is six (6) years (refer to IV.1.3 of the Contract Notice).The duration in Section II 2.7 is for the placing of orders. THIS IS AN EXTRACT ONLY. PLEASE ENSURE YOU CAREFULLY AND FULLY READ THE MORE DETAILED INFORMATION ON THE CONTRACT NOTICE, WHICH HAS BEEN PROVIDED AS AN ATTACHMENT TO THIS NOTICE.",,,"Any region","79000000 85100000 ",,eenablement@crowncommercial.gov.uk,"9th Floor, The Capital","Old Hall Street",Liverpool,"L3 9PP",England,03450103503,http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline,"Contract Notice - RM3749 Justification of Framework Agreement Duration.docx Contract Notice - RM3749 List of Potential Customers.docx Contract Notice - RM3749 Lot structure.docx Contract Notice - RM3749 Reserved rights for Crown Commercial Service Framework Agreement 09.05.docx Contract Notice - RM3749 Transparency Information for Crown Commercial Service Framework Agreement.docx Contract Notice - RM3749 Webinar details.docx ","http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline/temporary-worker-contracting-vehicle http://ted.europa.eu/udl?uri=TED:NOTICE:180133-2017:TEXT:EN:HTML&src=0 ","THIS IS AN EXTRACT ONLY. PLEASE ENSURE YOU CAREFULLY AND FULLY READ THE MORE DETAILED INFORMATION ON THE CONTRACT NOTICE, WHICH HAS BEEN PROVIDED AS AN ATTACHMENT TO THIS NOTICE",12/12/2017,11/12/2023,12/06/2017,NO,,Yes,No,No,Services,15000000000,0,,,,,,,"Negotiated ",
"RM3749 Award",Contract,"Crown Commercial Service",Awarded,2018-02-05T09:09:17Z,"Public Sector Resourcing Award","Crown Commercial Service (CCS) has put in place a pan government collaborative Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations). The Procurement established a single supplier public sector Framework Agreement for the supply of Contingent Workers.
Under the Framework Agreement, the Service Provider shall not be permitted to be an Agency Provider from its own business (or any affiliated businesses). 
The Framework Agreement duration is six (6) years (refer to IV.1.3 of the Contract Notice).The duration in Section II 2.7 is for the placing of orders. Call Off Contracts may extend up to a maximum of 18 months after the expiry of the Framework Period (refer to Clause 10 of the Framework Agreement).Contracting Authorities shall not be able to enter into Call Off Contracts anytime after the expiry of the Framework Period.",,,"Any region","79000000 ",,supplier@crowncommercial.gov.uk,"9th Floor, The Capital, Old Hall Street",,Liverpool,"L3 9PP",England,+443450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"RM3749 - Public Sector Resourcing Framework Agreement Version 1 - REDACTED 31.01.2018.docx ","http://ted.europa.eu/udl?uri=TED:NOTICE:51287-2018:TEXT:EN:HTML&src=0 ",,17/01/2018,16/01/2024,11/12/2017,NO,,Yes,No,No,Services,15000000000,0,16/01/2018,15000000000,"[Alexander Mann Solutions Limited|First Floor, 7-11 Bishopsgate, London  EC2N 3AQ, United Kingdom|COMPANIES_HOUSE|02073305|No|No]",,17/01/2018,15/01/2024,"CompetitiveProcedureWithNegotiationOJEU ",
"RM 3830/2",Contract,"Crown Commercial Service",Awarded,2018-08-09T13:16:22Z,"Facilities Management Marketplace","Crown Commercial Service (CCS) sought to establish a multi Supplier Framework Contract for the provision of Facilities Management (FM) Services. This was developed to improve the way in which the Public Sector and the Wider Public Sector purchase FM services.

This was the first framework to fall under the umbrella of the FM Marketplace. The FM Marketplace is a number of FM contracts accessible by an online digital portal. 

The Framework consists of 1 Lot split into 3 sub-Lots 1a-1c.",,,"Any region","39000000 45000000 50000000 51000000 55100000 55300000 55400000 55500000 64100000 65500000 71300000 71500000 71600000 75100000 77200000 77300000 ",,supplier@crowncommercial.gov.uk,"Capital Building","Old Hall Street",Liverpool,"L3 9PP",England,+443450103503,www.gov.uk/ccs,"RM3830 Successful Supplier Information.pdf RM3830 SAMPLE REDACTED Framework Award Form  V4.0.docx ","http://ccs-agreements.cabinetoffice.gov.uk/node/6935 ","The following information has been captured in accordance with the requirements of Regulation 50 of the Public Contracts
Regulations 2015: 

Number of tenders received from SMEs = 15
Number of tenders received from other EU Member States = 0
Number of tenders received from non-EU States = 1
Number of tenders received by electronic means = 54

This Framework Agreement commenced on 09/07/2018 for an Initial Period of 2 year and will conclude on 09/07/2020 with an option to extend for up to 2 further periods of 12 consecutive months at the Authority's discretion up to a total duration of 48 months.",23/05/2018,22/05/2020,14/03/2018,YES,"RM 3830",Yes,No,No,Services,12000000000,0,09/07/2018,12000000000,"[List of successfully awarded suppliers available in Attachments |As above|NONE||No|No]",,10/07/2018,09/07/2020,"OpenOJEU ",
