Organisation Name,Published Date,Title,Awarded Value
"Ministry of Defence, Air Support, Air ISTAR",2016-05-12T13:45:03Z,Multi-Mission Aircraft,1550000000.0
Project Selborne - To Provide a Training Service for Royal Navy and Royal Marines,2018-11-25T16:39:13Z,Project Selborne - Provision of a Training Service to the Royal Navy and Royal Marines,
SCAPE GROUP LIMITED,2017-05-05T12:41:22Z,Scape Regional Construction Framework.,
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-02-17T13:43:04Z,Overseas Prime Contract(s),
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-02-23T07:14:06Z,Overseas Prime Contract(s),
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2017-03-31T11:21:36Z,Overseas Prime Contract,
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-10-06T12:06:00Z,Air Support to Defence Operational Training (ASDOT),
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-11-28T09:21:02Z,Air Support to Defence Operational Training (ASDOT),
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-06-19T05:12:18Z,Air Support to Defence Operational Training (ASDOT),
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2017-11-20T12:27:09Z,Air Support to Defence Operational Training (ASDOT),
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2017-11-23T08:39:07Z,Air Support to Defence Operational Training (ASDOT),
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2019-03-24T07:12:03Z,Air Support to Defence Operational Training (ASDOT),
"Ministry of Defence, C&C, Other",2017-07-22T16:12:07Z,"Future Service Delivery Contract (FSDC): Provision of Armed Forces Pay, Pensions and Military HR and Administrative Services",
MINISTRY OF DEFENCE,2015-06-19T11:26:45Z,"Supply & Delivery of Musical Instruments,Technical Equipment Related Supplies & Services, Associated Repairs & the Supply of Sheet Music",470000000.0
"Ministry of Defence, Combat Air, Unmanned Air Systems (UAS) Team",2016-04-24T06:33:05Z,Justification of the decision of the procurer to award the contract without the prior publication of a contract notice:,415000000.0
"Ministry of Defence, C&C, Other",2018-04-09T13:00:10Z,"Future Service Delivery Contract (FSDC): Provision of Armed Forces Pay, Pensions and Military HR and Administrative Services",
"Ministry of Defence, C&C, Other",2020-01-20T12:30:58Z,"Future Service Delivery Contract (FSDC): Provision of Armed Forces Pay, Pensions and Military HR and Administrative Services",294190913.0
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2020-03-02T07:00:51Z,Rented Living Accommodation Project (RLAP),
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2020-04-04T07:00:38Z,Rented Living Accommodation Project (RLAP),
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2020-03-05T13:30:55Z,Rented Living Accommodation Project (RLAP),
"Ministry of Defence, C&C, C&C",2020-01-31T14:01:03Z,PROJECT ARIEL - EARLY MARKET ENGAGEMENT 2,
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-08-11T00:00:14Z,Overseas Prime Contract - Gibraltar,
"Ministry of Defence, Air Support, Other",2019-12-16T10:30:11Z,Electro-Mechanical Training Contract 2,
"Ministry of Defence, Air Support, Other",2020-01-19T09:10:03Z,Electro-Mechanical Training Contract 2,
Defence Infrastructure Organiation,2017-12-06T10:42:58Z,Transparency Notice of Contract Award: South West Region Multi Activity Contract,182774333.38
"Ministry of Defence, Land Equipment, Operational Infrastructure (OI)",2018-12-15T09:51:14Z,Project TYRO - Close Support Bridge,
MINISTRY OF DEFENCE,2015-12-07T15:50:36Z,Transparency Notice of ITN Issue: Scotland and Northern Ireland Region Multi Activity Contract,
MINISTRY OF DEFENCE,2015-05-19T11:38:22Z,TRANSPARENCY NOTICE OF ITN ISSUE: Facilities Management Services,
MINISTRY OF DEFENCE,2016-05-19T11:38:17Z,Transparency Notice of ITN Issue: Wales and West Midlands Region Multi Activity Contract,
"Ministry of Defence, IMOC, Defence Fuels Group",2020-03-15T12:40:02Z,DFAP/0028 - Singapore Fuels Project,
"Ministry of Defence, Land Equipment, Operational Infrastructure Programme (OIP)",2017-04-10T11:03:39Z,Project TYRO - General Support Bridge,
Ministry of Defence : Ministry of Defence,2019-03-20T13:37:19Z,Provision of Temporary Workers for MoD,78093253.24
MINISTRY OF DEFENCE,2015-04-28T09:12:28Z,Provision of Air Transport for Military Cargo,1.0
MINISTRY OF DEFENCE,2015-06-12T13:19:48Z,Materiel Strategy - Managed Service Provider - Work Package 1 - Project Delivery - Air,73500000.0
MINISTRY OF DEFENCE,2015-07-03T14:44:22Z,Materiel Strategy - Managed Service Provider - Work Package 1 - Project Delivery - Fleet,73400000.0
MINISTRY OF DEFENCE,2015-07-03T14:47:09Z,Materiel Strategy - Managed Service Provider - Work Package 1 - Project Delivery - Joint Enablers,72600000.0
MINISTRY OF DEFENCE,2015-07-03T15:14:41Z,Materiel Strategy - Managed Service Provider - Work Package 1 - Project Delivery - Land,71900000.0
"LEIDOS SUPPLY, LIMITED",2016-11-10T11:34:15Z,Future Operational Ration Packs,
"LEIDOS SUPPLY, LIMITED",2019-05-10T11:30:56Z,Operational Ration Packs 2019,80000000.0
"Ministry of Defence, C&C, C&C",2017-12-18T13:15:08Z,Programme HADES Region 2 - Provision of Technical Support Services in the South East of England,69833151.0
MINISTRY OF DEFENCE,2018-07-06T14:34:43Z,Programme Hades Region 2 - Provision of Technical Support Services in the South East of England,69833151.0
"Ministry of Defence, C&C, C&C",2017-12-18T13:06:14Z,Programme HADES Region 1 - Provision of Technical Support Services in Wales and the West Midlands,58713680.0
MINISTRY OF DEFENCE,2018-07-06T14:31:28Z,Programme Hades Region 1 - Provision of Technical Support Services in Wales and the West Midlands,58713680.0
"Ministry of Defence, Land Equipment, Other",2018-05-06T11:12:15Z,Provision of whole aircraft charter for the transportation of military and government cargo and personnel worldwide,
"Ministry of Defence, Land Equipment, Other",2019-07-28T11:21:04Z,Provision of whole aircraft charter for the transportation of military and government cargo and personnel worldwide,57295000.0
MINISTRY OF DEFENCE,2018-07-06T14:37:53Z,"Programme Hades Region 3 - Provision of Technical Support Services in Scotland, the North, and East of England",51774189.0
"Ministry of Defence, Land Equipment, Operational Infrastructure Programme (OIP)",2017-04-10T11:27:03Z,Project TYRO - Close Support Bridge,
"Ministry of Defence, Land Equipment, Operational Infrastructure (OI)",2018-12-15T10:04:11Z,Project TYRO - General Support Bridge,
"Ministry of Defence, IMOC,",2015-10-25T09:15:05Z,Provision of air transport for military passengers and passengers from other Government Departments.,
"Ministry of Defence, Land Equipment, Armoured Vehicles Programmes - Artillery Systems Programme",2020-01-19T12:50:03Z,Manufacture and Support of Mobile Artillery Battlefield Radar (MAMBA) Mid-Life Extension (MLE),46000000.0
"Ministry of Defence, Land Equipment, Armoured Vehicles Programmes - Artillery Systems Programme",2020-01-20T08:10:03Z,Manufacture and Support of Mobile Artillery Battlefield Radar (MAMBA) Mid-Life Extension (MLE),46000000.0
"Ministry of Defence, C&C, Other",2018-05-03T14:00:51Z,COEFOR Support (Project Thespis),
"Ministry of Defence, Land Equipment, Operational Support Vehicle Programme (OSVP)",2016-05-13T09:12:12Z,PHOENIX II,38000000.0
"Ministry of Defence, Land Equipment, Armoured Vehicles Programmes - Artillery Systems Programme",2017-08-03T11:06:12Z,Manufacture and Support of Mobile Artillery Battlefield Radar (MAMBA) Mid-Life Extension (MLE),38000000.0
MINISTRY OF DEFENCE,2017-05-05T15:03:03Z,PHOENIX II,38000000.0
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2017-04-07T13:00:08Z,RAF Northolt Runway and Arrestor Beds.,
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-08-05T07:00:03Z,Tucano In Service Support,35000000.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2017-05-26T07:36:08Z,Tucano In Service Support,35000000.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-08-14T08:36:03Z,Tucano In Service Support,35000000.0
"Ministry of Defence, Land Equipment, Training and Simulation Systems Programme (TSSP)",2018-04-26T12:39:10Z,Joint Command and Staff Training,
CROWN COMMERCIAL SERVICE,2017-01-13T11:47:32Z,MoD Licence Acquisition Training,31548870.0
"Ministry of Defence, Land Equipment, Operational Support Programmes (OSP)",2016-02-04T16:12:00Z,SUPPLY AND SUPPORT OF A LIGHT PROTECTED MOBILITY RECOVERY (LPMR) VEHICLE.,
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2016-09-11T08:09:03Z,Principal Support Provider (PSP) – Overseas’ (incl. Commercial Project Management (CPM) and Specialist Advisory (SA) Services),
DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,2015-08-20T08:55:00Z,DFID 7293 Burma Enterprise Opportunity Facility,
"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",2016-07-31T13:42:02Z,Provision of Engineering and Logistic Support to Aircraft Arrestor Systems in use in the UK and at overseas military bases - RHAG and PAAG,24111000.0
"Ministry of Defence, C&C, Other",2015-11-13T06:45:04Z,"Provision of Aviation Engineering Support and Aircraft Services at RNAS Yeovilton, Culdrose and Satellite Stations in the South England",20702555.0
"Ministry of Defence, Air Support, C17 Command Support and Airborne Equipment Project Team (CSAE PT)",2016-01-23T11:33:03Z,Parachute Equipment Support Contract,
"Ministry of Defence, C&C, Naval Authority Group",2019-02-11T15:00:34Z,AESAS 21 Provision of Air Engineering Support and Airfield Services,
BABCOCK INTERNATIONAL GROUP PLC,2019-10-25T13:40:00Z,Supply of General Military Consumables - Vehicle Spares,20000000.0
Maritime & Coastguard Agency,2018-09-05T09:58:50Z,Aerial Surveillance Contract,
MINISTRY OF DEFENCE,2015-12-11T13:49:39Z,Aviation Support for British Forces Brunei,
BABCOCK INTERNATIONAL GROUP PLC,2017-07-20T15:17:36Z,The Supply of Military Related Spare Parts & Associated Items - Major Platform Related items,1963000.0
MINISTRY OF DEFENCE,2016-08-01T12:46:30Z,For the Provision of Personal Support and Social Work Services to the United Kindom (UK) Royal Air Force (RAF),
"Ministry of Defence, C&C, Other",2016-01-08T12:48:02Z,Provision of Policing Skills Support to the Iraq Historic Allegations Team (IHAT),22500000.0
"Ministry of Defence, C&C, Other",2015-09-07T13:12:04Z,Provision of Policing Skills Support to the Iraq Historic Allegations Team (IHAT),
"Ministry of Defence, Land Equipment, Other",2017-01-21T09:09:09Z,Challenger 2 Life Extension Project,38186000.0
MINISTRY OF DEFENCE,2020-03-03T14:31:17Z,CCDT/598 Advanced Military Fan Systems,16000000.0
"Ministry of Defence, Helicopters, Apache Project Team",2019-12-06T08:50:08Z,Procurement of One (1) PFMTF (Pre Flight Message Test Facility) Rig and Two (2) STF (System Test Facility) Rig,16000000.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2020-01-13T07:20:04Z,The provision of In Service Support for Hawk T Mk1/1a aircraft,15728184.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-04-07T11:04:19Z,Global Direct Repair Scheme,
"Ministry of Defence, Ships, Commercially Supported Shipping (CSS) Team",2018-06-07T08:54:10Z,Design and Build of Police Patrol Craft,
BABCOCK INTERNATIONAL GROUP PLC,2017-06-29T13:26:24Z,The Supply of Military Spare Parts and Associated Items,13885400.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2020-01-13T07:00:54Z,Provision of In-Service-Support and Availability of Adour Engines for Hawk T Mk1/1A and Hawk T Mk2 aircraft,13500000.0
N E L Commissioning Support Unit,2017-08-09T17:02:12Z,Veterans Mental Health Intensive Services - NHS England,
MINISTRY OF DEFENCE,2020-02-12T15:13:08Z,Disposal of Military Spares (Air & Land),13000000.0
MINISTRY OF DEFENCE,2016-08-10T10:30:41Z,Aircraft Arrestor Systems - RHAG & PAAG,23002479.0
"Ministry of Defence, Land Equipment, Operational Support Vehicle Programme (OSVP)",2016-10-23T09:27:04Z,Conventional Vehicle Solutions (CVS)  'B' Vehicles Post Design Services Contract,
MINISTRY OF DEFENCE,2017-04-26T14:05:40Z,TRANSPARENCY NOTICE ONLY - English Language Training (ELT) to UK Sponsored International Military Personnel & Civilian Officials,11724461.0
MINISTRY OF DEFENCE,2016-01-05T10:48:36Z,Provision of Policing Skills Support to the Iraq Historic Allegations Team (IHAT),11229792.0
"Ministry of Defence, C&C, Other",2018-05-21T14:33:09Z,"MOD Medals, Awards, Badges and other Miscellaneous Items",11137000.0
MINISTRY OF DEFENCE,2015-12-18T07:20:24Z,TRANSPARENCY NOTICE OF ITT ISSUE - Provision of Logistic Movement Support for British Forces Cyprus,
MINISTRY OF DEFENCE,2020-03-02T12:40:12Z,Global Overseas Sales & Disposals,10500000.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2018-08-20T08:16:02Z,Hawk TMk1/1A Collision Warning System,
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2018-08-20T08:15:14Z,Hawk TMk1/1A Collision Warning System,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-01-09T08:57:08Z,IRM16/1319 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related,
MINISTRY OF DEFENCE,2015-04-22T14:24:52Z,Supply of Armoured Fighting Vehicle Spares,
MINISTRY OF DEFENCE,2016-05-23T15:12:35Z,Electrical/Electro-Chemical Power Sources Technical Support Services,10000000.0
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2019-03-10T14:06:02Z,FUCHS Sustain,
BABCOCK INTERNATIONAL GROUP PLC,2017-03-01T09:02:34Z,SUPPLY OF MILITARY PARTS AND ASSOCIATED ITEMS - MECHANICAL/FABRICATED PARTS RELATED,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2016-12-19T10:42:12Z,IRM16/1319 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related,
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-04-07T05:57:06Z,In Service Support for the Tucano Garrett-331-12B Aero Engine,10000000.0
MINISTRY OF DEFENCE,2015-06-02T12:54:39Z,Complete Disposal Service for Surplus Equipment Spares and Materiel for Military Platforms,14000000.0
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2017-11-20T09:27:09Z,"Secondary Containment Improvement, Senoko, Singapore",
MINISTRY OF DEFENCE,2015-11-13T10:58:33Z,"External Support: Risk, Internal Control & Assurance Functions for DARA",9000000.0
MINISTRY OF DEFENCE,2015-07-01T16:03:22Z,External Support for DARA,
