Organisation Name,Published Date,Title,Awarded Value
Office Of Gas & Electricity Markets,2016-10-13T16:24:48Z,Tender Round 5 (TR5) for the grant of offshore transmission licences,
Genesis Housing Association,2016-03-07T13:27:01Z,"Framework for the supply of non half hourly electricity, half hourly electricity and natural gas",
Genesis Housing Association,2016-06-05T11:06:03Z,"Framework for the supply of non half hourly electricity, half hourly electricity and natural gas",15000000000.0
Crown Commercial Service,2019-10-02T10:18:02Z,Supply of Energy and Ancillary Services,
Crown Commercial Service,2020-02-13T12:25:34Z,Supply of Energy and Ancillary Services,10000000000.0
Office of Gas and Electricity Markets,2018-11-30T13:15:12Z,Tender Round 6 (TR6) for the grant of three offshore transmission licences,
Crown Commercial Service,2019-11-07T09:13:45Z,National Fuels (2),
Crown Commercial Service,2019-11-04T13:14:33Z,Utilities Switching Services (DPS),
LHC,2015-10-27T10:18:20Z,Energy Efficiency and Refurbishment (N7 — WS2/3 Framework),1400000000.0
"Ministry of Defence, Land Equipment, Defence Fuels and Food Services (DF&FS)",2016-12-26T08:21:11Z,DFFS/5072 Bulk Fuels Framework Agreement (BFFA),1085000000.0
MINISTRY OF DEFENCE,2017-01-25T13:21:49Z,Bulk Fuels Framework Agreement (BFFA),0.0
Aspire Housing,2016-08-15T14:39:24Z,Aspire Housing: Framework for the Supply of Electricity & Gas,
Aspire Housing,2016-11-17T17:45:06Z,Aspire Housing: Framework for the Supply of Electricity & Gas,1000000000.0
Transport for London,2018-05-14T15:01:49Z,Energy for Londoners Energy Supply Company,
Office Of Gas & Electricity Markets,2017-03-15T13:49:26Z,Tender Round 5 (TR5) for the grant of offshore transmission licences,
LHC,2019-08-01T15:57:21Z,Whole House Refurbishment (WH2),
Espo,2018-09-20T10:25:29Z,"191_20 Electricity (Half Hourly Metered, Non Half Hourly and Unmetered Supply)",750000000.0
Wyre Borough Council,2019-05-01T17:45:07Z,Electricity and Gas OJEU Framework,750000000.0
ESPO,2019-05-20T11:32:50Z,190_19 Fixed Price Energy,625000000.0
Inenco Group Ltd,2016-08-15T12:06:48Z,Energy Portfolio Services Framework,600000000.0
