Organisation Name,Published Date,Title,Awarded Value
Crown Commercial Service,2018-04-11T14:14:43Z,Management Consultancy Framework Two (MCF2),
Office Of Gas & Electricity Markets,2016-10-13T16:24:48Z,Tender Round 5 (TR5) for the grant of offshore transmission licences,
Poole Hospital NHS Foundation Trust,2019-01-27T11:07:24Z,Approved Contractor Framework List for Works,67000000000.0
CROWN COMMERCIAL SERVICE,2015-10-19T13:13:04Z,Merchant Acquiring Services,
Crown Commercial Service,2019-03-25T10:21:23Z,Construction Works and Associated Services,
Genesis Housing Association,2016-06-05T11:06:03Z,"Framework for the supply of non half hourly electricity, half hourly electricity and natural gas",15000000000.0
CROWN COMMERCIAL SERVICE,2017-05-12T11:42:09Z,Public Sector Resourcing,
Crown Commercial Service,2018-02-05T09:09:17Z,Public Sector Resourcing Award,15000000000.0
Genesis Housing Association,2016-03-07T13:27:01Z,"Framework for the supply of non half hourly electricity, half hourly electricity and natural gas",
CROWN COMMERCIAL SERVICE,2017-05-17T10:31:15Z,Facilities Management Services,
Crown Commercial Service,2018-08-09T13:16:22Z,Facilities Management Marketplace,12000000000.0
"Ministry of Defence, Land Equipment, Other",2018-07-25T15:09:15Z,Mechanised Infantry Vehicle (MIV),11500000000.0
Crown Commercial Service,2019-07-04T09:46:23Z,Payment Solutions,10000000000.0
Crown Commercial Service,2020-02-13T12:25:34Z,Supply of Energy and Ancillary Services,10000000000.0
Crown Commercial Service,2019-10-02T10:18:02Z,Supply of Energy and Ancillary Services,
Crown Commercial Service,2019-03-25T13:25:07Z,Workplace Services (FM Marketplace Phase 2) - Lots 2 & 3,9900000000.0
London Borough of Hounslow,2019-11-12T13:33:43Z,HOUNSLOW HOME CARE - SELECT PROVIDERS,
Highways England,2018-06-20T13:54:31Z,Delivery Integration Partners (DIP) Subcontractor opportunity,
Highways England,2018-12-28T16:26:34Z,Delivery Integration Partnership (DIP),8700000000.0
HOMES & COMMUNITIES AGENCY,2017-01-23T13:32:24Z,Delivery Partner Panel 3,
DEPARTMENT FOR EDUCATION,2017-04-03T09:20:49Z,Education Funding Agency Construction Framework,
Alder Hey Children's Hospital NHS Foundation Trust,2019-11-22T17:45:08Z,Procure Partnerships (National) Framework,8000000000.0
