,Notice Identifier,Notice Type,Organisation Name,Status,Published Date,Title,Description,Nationwide,Postcode,Region,Cpv Codes,Contact Name,Contact Email,Contact Address 1,Contact Address 2,Contact Town,Contact Postcode,Contact Country,Contact Telephone,Contact Website,Attachments,Links,Additional Text,Start Date,End Date,Closing Date,Is sub-contract,Parent Reference,Suitable for SME,Suitable for VCO,Supply Chain,OJEU Contract Type,Value Low,Value High,Awarded Date,Awarded Value,Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE],Supplier's contact name,Contract start date,Contract end date,OJEU Procedure Type,Accelerated Justification
0,SCP150422,Contract,Transport For Greater Manchester,Awarded,2015-11-30T08:34:59Z,Transport Professional Services Framework,"Provision of transport consultancy services to include the following strategic lots and specialist sub-lots:
Transport Systems (1), Railway Systems (A), Intelligent Transport Systems (B), Public Transport Operations
(C), Transport Strategy (2), Traffic Engineering (D), Development of Transport Policies and Strategies (E),
Transport Appraisal for Funding Decisions (F), Transport Network Modelling (G), Fares, Ticketing and Marketing
Strategy (H), Transport-Related Commercial and Financial Advice (3), Research and Consultation Activity
(4), Transport Surveys and Data Collection (5), Transport Architectural Design Services (6), Transport-related
Civil and Structural Advice and Services (7), Highway Asset and Network Management Professional Services
(I), Structural Engineering (J), Civil Engineering (K), Transport-Wide Engineering Consultancy Services (8),
Programme / Project Management (L), Quantity Surveying (M), Mechanical and Electrical Engineering (N),
Environmental Services (O) and Transport Multi-Disciplinary Services (9)",,,North West,60000000 63000000 ,,procurement@tfgm.com,2 Piccadilly Place,,Manchester,M1 3BG,England,,,,https://procontract.due-north.com/register ,Please access the tender documentation via the e-tendering link https://procontract.due-north.com/register.  This is a free portal. ,01/08/2016,31/07/2020,12/02/2016,NO,,Yes,No,No,Services,60000000.0,0.0,22/07/2016,60000000.0,[Aecom|St Albans|||No|No][Atkins|Epsom|||No|No][CH2M Hill|London|||No|No][Jacobs|Manchester|||No|No][Mott MacDonald|Altrincham|||No|No][WSP|London|||No|No][Amey|Oxford|||No|No][Systra|Manchester|||No|No][Dynniq (formerly Imtech)|Basingstoke|||No|No][Mouchel|Sandy|||No|No][Ove Arup|London|||No|No][Pell Frischmann|London|||No|No][Steer Davies Gleave|London|||No|No][Wilde|Stockport|||No|No][WYG|Manchester|||No|No][Ernst and Young|London|||No|No][KPMG LLP|London|||No|No][PwC LLP|London|||No|No][RS Consulting Ltd T/A Breaking Blue (formerly Bright Blue Resear|London|||No|No][Ipsos MORI|Manchester|||No|No][TNS UK Ltd|London|||No|No][CTS|Preston|||No|No][Intelligent Data Collection|Maidenhead|||No|No][Nationwide Data Collection|Ossett|||No|No][Pluswork|Manchester|||No|No][Tracsis|Leeds|||No|No][BDP|Manchester|||No|No][Gensler and Associates|London|||No|No][Hawkins Brown|Manchester|||No|No][Strzala|Manchester|||No|No][Weston Williamson|London|||No|No][Capita|Manchester|||No|No][Opus|Manchester|||No|No][Grontmij|Leeds|||No|No][Mace|Manchester|||No|No][Ridge and Partners|Manchester|||No|No][Turner and Townsend|Manchester|||No|No][Long O'Donnell|Northwich|||No|No][Sweett Group|Manchester|||No|No][Arcadis|Manchester|||No|No],,01/08/2016,31/07/2020,Open ,
1,CHEAST001-DN175913-60561341,Contract,Transport Service Solutions trading as Cheshire East Borough Council,Awarded,2016-10-24T12:17:42Z,"Tender Phase 9, 2016 – LOCAL BUS TRANSPORT (OJEU)","Vehicles with drivers are required to transport clients to various locations in the East of Cheshire and surrounding areas. Detailed information of routes, days of operation, whether wheelchair accessible vehicles are required and whether passenger assistants as well as drivers are required, will be detailed in the tender documentation on the chest website. 

Transport Service Solutions Limited, (TSS herein), gives no guarantee or warranty or makes any representation as to the accuracy of any indicative volumes or as to the value of the work during the contract period. 

Possible variations to lots - Should this happen, updated information will be provided via The CHEST website. TSS may exercise an option to extend the Contract for a further period or periods of up to a maximum of 7 years in total. The successful operator(s) will need to complete contract documentation prior to the contract start date and therefore may be required to travel to our office in Crewe to complete the fore-mentioned paperwork. 

A copy of the current terms and conditions will be available with the tender documentation on the CHEST website. TSS reserve the right not to award any of the listed lots

Transport Service Solutions Limited (TSS) is a wholly owned company of Cheshire East Council and assumes all rights, obligations and liabilities previously assumed by Cheshire East Borough Council Transport. 
",,,North West,60100000 ,Peter Grime,peter.grime@transportservicesolutions.co.uk,"Floor 1, Municipal Buildings",Earle Street,Crewe,CW1 2BJ,UK,+44 1270371475,http://www.cheshireeast.gov.uk/,,https://procontract.due-north.com/Advert?advertId=f408e0f6-3b5a-e611-8114-000c29c9ba21 ,,24/10/2016,24/10/2021,19/08/2016,NO,,Yes,No,No,Services,11949830.0,11949830.0,26/09/2016,11949830.0,"[Lot 1 (N50001) - Eric W Bowers Ltd t/a High Peak Buses|High Peak Bus, Hallsteads, Dove Holes, BUXTON, Derbyshire, SK17 8BJ|||No|No]",,24/10/2016,23/10/2021,Open ,
2,BIP447305818,Contract,Transport for London,Awarded,2019-11-14T14:50:12Z,GB-London: TPPL Transport for London BNES Bus lot 4 - 186 x low floor buses,TPPL Transport for London BNES Bus lot 4 - 186 x low floor buses,,,London,34121400 ,Nathaniel Smith,nathanielsmith1@tfl.gov.uk,192 Palestra,Blackfriars Road,London,SE1 8NJ,UK,02070279161,,,https://www.delta-esourcing.com/delta/respondToList.html?noticeId=447305818 ,,02/11/2019,02/12/2019,07/08/2019,NO,,No,No,No,Products,12946000.0,0.0,07/08/2019,12946000.0,"[Woodhall Nicholson Limited|Wigan Road
        Westhoughton
        Bolton
        BL5 2EE|NONE||No|No]",Jane Dransfield,02/11/2019,02/12/2019,NotSpecified ,
3,ICT12549,Contract,TRANSPORT FOR LONDON,Awarded,2018-04-26T10:17:30Z,Surface Transport Narrow Band Radio System Replacement,"Supply and installation of 9,500 new digital mobile radios and disposal of old analogue radios.",,,London,32200000 32344200 32344210 32344260 32344280 32418000 50333000 51311000 51321000 92210000 ,,CommercialCoE@TfL.gov.uk,"55 Broadway,",,London,SW1H 0BD,England,,,Agreement_Redacted.pdf Schedule 1_6 Redacted.pdf Schedule 15_23 Redacted.pdf Schedule7_14 Redacted.pdf ,,,24/03/2018,22/09/2029,23/03/2018,NO,,No,No,No,Services,20000000.0,20000000.0,23/03/2018,20000000.0,"[TAIT EMEA -|Unit A Trinity Court, Buckingway Business Park, Anderson Road, Swavesey, Cambridge, CB24 4UQ|NONE||No|No]",,24/03/2018,22/09/2029,CompetitiveProcedureWithNegotiationOJEU ,
4,TFL001-DN453866-42350131,Contract,Transport for London,Closed,2019-12-18T20:36:19Z,Surface Transport Infrastructure Construction Framework,"TfL is establishing a pan-London single lot multi-supplier framework to deliver medium to high complexity/value enhancement and renewal capital projects and programmes and associated works and services as outlined in this Contract Notice and more particularly described in the procurement documents, for use by TfL and other contracting authorities identified in this Notice. TfL intends to appoint the 5 tenderers submitting the most economically advantageous tenders onto the framework. All framework contractors will be invited to mini-compete for high complexity/value projects. The tenderers submitting the 3 most economically advantageous tenders will also be directly allocated medium complexity/value projects by TfL at the Framework commencement which will be equally distributed between the 3 tenderers, and annually thereafter. Performance against KPIs will affect future annual allocation of work.  Further details are provided in Section II.2.4 and in the procurement documents.
Estimated values in this Contract Notice do not include works that may be instructed by private developers.
",,,London,45220000 45221111 45221241 45223000 45233100 45233120 45233125 71310000 71320000 71510000 ,Edward Riddell,EdwardRiddell@tfl.gov.uk,197 Blackfriars Road,,London,SE1 8NJ,United Kingdom,+44 2030545140,https://tfl.gov.uk,,https://procontract.due-north.com/Advert?advertId=e30af678-c621-ea11-80fc-005056b64545 ,,01/04/2021,31/03/2027,31/01/2020,NO,,Yes,No,No,Works,800000000.0,800000000.0,,,,,,,NotSpecified ,
5,CA0135,Contract,West Yorkshire Passenger Transport Executive,Closed,2016-04-21T08:30:46Z,West Yorkshire Transport Fund - Specialist Professional Consultancy,"West Yorkshire Combined Authority and the Leeds City Region Enterprise Partnership has secured a £1billion-plus Growth Deal to support growing businesses, develop a skilled and prosperous workforce, improve energy efficiency and create the housing and transport infrastructure for growth.

Within this Growth Deal, there are a number of schemes, predominantly highway, that will require specialist services over the coming years.  These services will be acquired through a framework that will then be subject to mini competition invited during the period by individual Districts as and when required.

The schemes and services are listed in the questionnaire.

The concluded contract will be open for use by the 22 local authorities within the Yorkshire and Humber region. Details of the authorities can be found at; http://local.direct.gov.uk/LDGRedirect/MapLocationSearch.do?mode=1.1&map=4

The total value of the scheme is £1,000,000,000.00. This notice is for the specialist consultancy only and forms part of the above value.",,,Yorkshire and The Humber,71000000 ,Wayne Robinson,wayne.robinson@westyorks-ca.gov.uk,40-50 Wellington Street,Wellington House,Leeds,LS1 2DE,England,0113 2517272,http://www.westyorks-ca.gov.uk,,https://in-tendhost.co.uk/westyorkshireCA/aspx/Home ,,01/06/2016,01/06/2020,23/05/2016,NO,,Yes,No,No,Services,900000000.0,1000000000.0,,,,,,,Restricted ,
6,NCCT41251,Contract,Passenger Transport Unit,Closed,2017-04-25T17:12:45Z,Downham Market and Kings Lynn Passenger Transport Services,The Council is looking to award contracts for the provision of local bus services and home to school transport,,,East of England,60172000 ,,ptprocurement@norfolk.gov.uk,County Hall,Martineau Lane,Norwich,NR1 2SG,England,+44 1603224357,https://in-tendhost.co.uk/norfolkcc/aspx/Home,,https://in-tendhost.co.uk/norfolkcc/aspx/ ,"This procurement will be managed electronically via the Councils procurement system. To participate in this
procurement, Applicants must first be registered on the procurement system at https://in-tendhost.co.uk/
norfolkcc.
Full instructions for registration and use of the system can be found at https://in-tendhost.co.uk/norfolkcc/aspx/
BuyerProfiles. Once registered you will be able to view the procurement under the tenders section and express
an interest.
If you encounter any difficulties whilst using the system you can contact the support team by phoning +44
8442728810 or emailing support@in-tend.co.uk.",03/09/2017,25/08/2025,16/05/2017,NO,,Yes,No,No,Services,10435000.0,0.0,,,,,,,Open ,
7,K280020310,Contract,DEPARTMENT FOR TRANSPORT,Awarded,2017-12-21T14:33:10Z,Total Facilities Management Services - Department for Transport,Provision of Total Facilities Management Services for the Department for Transport. This call off Contract was awarded via RM1056 LOT 1 of the Crown Commercial Services Framework. The Call Off Contract will be for an initial 5 year period with an option to extend for a maximum of a further (2) years in yearly increments reviewed on an annual basis.,,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Scotland,Wales,Northern Ireland",79993000 ,,procurement.branch@dvsa.gov.uk,"The Axis Building, 112 Upper Parliament Street",,Nottingham,NG1 6LP,England,,,,,,07/09/2017,31/01/2023,15/03/2017,NO,,No,No,No,Services,90300832.83,0.0,06/09/2017,90300832.83,"[INTERSERVE (FACILITIES SERVICES) LTD|CAPITAL TOWER
SE1 8RT
GB|COMPANIES_HOUSE|00725583|No|No]",,07/09/2017,31/01/2023,CallOffFromFrameworkAgreement ,
8,SGLOS001-DN330886-58633753,Contract,South Gloucestershire Council,Awarded,2019-02-14T09:10:38Z,Passenger Transport Services Framework Agreement,"Transport services (excl. Waste transport). Public road transport services. Hire of buses and coaches with driver. Special-purpose road passenger-transport services. Public road passenger transport services. Hire of buses, coaches with driver. Special purpose road passenger transport services for the disabled. Taxi service. The establishment of a Framework Agreement for passenger transport services in a number of Lots.",,,South West,60000000 60100000 60120000 34144000 60172000 ,David Wigram,david.wigram@southglos.gov.uk,Broad Lane,Engine Common Lane,Yate,BS37 7PN,England,+44 1454863978,https://www.southglos.gov.uk,,,,01/12/2018,30/11/2022,02/07/2018,NO,,Yes,Yes,No,Services,30000000.0,30000000.0,11/12/2018,30000000.0,"[A Taxis|1 Brentry Road, Fishponds, Bristol. BS16 2AA|NONE||Yes|No][Abus Limited|104 Winchester Road, Brislington, Bristol BS4 3NL|NONE||Yes|No][Acorn Taxis|19 Gloucester Road, Rudgeway, South Gloucestershire. BS35 3SF|NONE||Yes|No][Avon Minibuses Limited|Unit 14, Hanham Buisness Park, Memorial Road. Bristol. BS15 3JE|NONE||Yes|No][Aztec Cars Limited|1 Dryleaze Road, Frenchay, Bristol. BS16 1 HJ|NONE||Yes|No][Beaufort Minibuses & Taxis Limited|The Mews, Hounds Road, Chipping Sodbury, Bristol. BS37 6EE|NONE||Yes|No][Bristol Metro Taxis Limited|The Quadrant, Aztec West, Bristol. BS32 4AQ|NONE||Yes|No][Bristol Minibuses|43 Enfield Road, Fishponds, Bristol. BS16 3QB|NONE||Yes|No][Charlton Coach Hire|Fir Tree Lodge, Woodwell Road, Bristol. BS11 9UG|NONE||Yes|No][Dave's Taxi|77 Chiltern Close, Warmley, Bristol BS30 8UN|NONE||Yes|No][Eagle Coaches Limited|Fireclay House, Netham Road, Bristol. BS5 9PJ|NONE||Yes|No][East Bristol Cars|4 Charlotte Mews, Cadbury Heath, South Gloucestershire. BS30 8FQ|NONE||Yes|No][Elite Fleet Southwest|19 Knapps Lane, Fishponds Trading Estate, Bristol. BS5 7UQ|NONE||Yes|No][Eurotaxis Limited|Dean Road, Yate, Bristol. BS37 5NH|NONE||Yes|No][Fishponds Taxis|101 Briarway, Fishponds, Bristol. BS16 4JH|NONE||Yes|No][Four Towns and Vale Link Community Transport|Crossbow House, 58 School Road, Frampton Cotterell Bristol. BS36 2DA|NONE||Yes|Yes][Frenchay Taxis|12 Old Gloucester Road, Frenchay, Bristol. BS16 1QW|NONE||Yes|No][Green Community Travel Limited|The Yard, 390 North Road, Yate. BS37 7LW|NONE||Yes|No][Kingsway Taxis|133 Kingsway, St George, Bristol BS5 8NQ|NONE||Yes|No][Kingswood Cab Company Limited|1 Thatchers Close, Bristol. BS5 8NJ|NONE||Yes|No][PJ Cabs Limited|25 Falcon Gate, Dean Road, Yate, Bristol. BS37 5NH|NONE||No|No][Pluto Enterprises Limited|Dayan House, 818 Whitchurch Lane, Bristol. BS14 0JP|NONE||Yes|No][South Gloucestershire Bius & Coach Company Limited|Pegasus Park, Gipsy Patch lane, Patchway, Bristol. BS34 6QD|NONE||Yes|No][SJ & JM Munden Limited t/a Guyan Minibuses|6-7 Freestone Road, St Philips, Bristol. BS2 0QN|NONE||Yes|No][Southwest Minibuses Limited|19 Knapps Lane, Fishponds, Bristol. BS5 7UQ|NONE||Yes|No][Cheltenham & Gloucester Omnibus Company Ltd. (t/a Stagecoach|Third Floor, 65 London Road, Gloucester. GL1 3HF|NONE||Yes|No][State Express (Kingswood) Ltd|The Old School House, Britannia Road, Kingswood. BS15 8DB|NONE||Yes|No][Techxi Limited t/a South Glos Taxis|The Depot, Station Road, Patchway, Bristol. BS34 6LR|NONE||Yes|No][Travelbility Limited|2 Chesterfield Buildings, Westbourne Place, Clifton, Bristol. BS5 1RU|NONE||No|No][V Cars Limited|Livingstone Business Village, Newport. NP18 2LH|NONE||Yes|No]",Narindar Kaur,01/01/2019,30/11/2022,Open ,
9,WARRINGTONLIVE001-DN280951-61843706,Contract,Warrington Borough Council,Closed,2017-07-03T16:28:32Z,Transportation and Public Realm Consultancy Services Framework Contract 2017,"Warrington Borough Council, on behalf of Cheshire West and Chester Borough Council, Cheshire East Borough Council, Halton Borough Council, and the Cheshire and Warrington Local Enterprise Partnership, are seeking to appoint a number of suppliers to a framework for the provision of a Transportation and Public Realm Consultancy Services. We currently have a framework agreement in place which expires in March 2018. The new framework will be effective from 1st April 2018. The new framework will be for a period of up to four years, on a two years, plus one year, plus one year basis. Warrington Borough Council is procuring and will be managing the contract on behalf of the other named organisations. Consultant support will be required for the following areas: • Transport Policy and Programme Development • Delivery of Minor Integrated Transport Schemes and Maintenance programmes • Development of Major Transport Schemes • Delivery of core service functions and initiatives. Consultants appointed to the framework will be expected to be capable of providing services for the full range of activities listed below, either through direct provision or with third party, sub contract, support: Transportation and Public Realm and Asset Management. Further information is within the brief. Please go to The Chest at www.the-chest.org.uk for further information",,,North West,71310000 71320000 72220000 72242000 ,Carole Robinson,crobinson1@warrington.gov.uk,New Town House,Buttermarket Street,Warrington,WA1 2NH,England,01925 442636,http://www.warrington.gov.uk/,,https://procontract.due-north.com/Advert?advertId=2de63403-da5b-e711-80e3-005056b64545 ,,01/04/2018,01/04/2020,02/08/2017,NO,,Yes,Yes,No,Services,22000000.0,22000000.0,,,,,,,Restricted ,
