"Notice Identifier","Notice Type","orgName",Status,"publishedDate",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
DSACOMDD/5037,Contract,"MINISTRY OF DEFENCE",Awarded,2015-06-02T12:54:39Z,"Complete Disposal Service for Surplus Equipment Spares and Materiel for Military Platforms","Complete Disposal Service by Re-Sale, Re-Use or Recycling for Surplus Equipment Spares and Materiel for Military Platforms",,,"Any region","35300000 ",,DESLCSLS-DSA-Comrcl-3@mod.uk,"Building H9, H Site, DE&S Arncott, Ploughley Road",,Bicester,"OX25 1LD",England,,,"20150428-5037_Final_Contract-OSC.pdf ",,,01/05/2015,30/04/2019,07/01/2015,NO,,Yes,No,No,Services,10000000,0,28/04/2015,14000000,"[Military Spares UK Ltd|A1 Hovefields Avenue
Basildon
Essex
SS13 1EB|||No|No]",,01/05/2015,30/04/2019,"Other ",
ArmyHQ4/00046,Contract,"MINISTRY OF DEFENCE",Awarded,2016-01-19T14:51:21Z,"Military Use of National Shooting Centre (NSC) Ranges, Bisley","Military Use of National Shooting Centre (NSC) Ranges at Bisley for Competition and Training Purposes",,,"South East","70320000 ",,DefComrclCC-ArmyHQ-Proc4Mbox@mod.uk,"Rm G6, Bldg 114","Thiepval Barracks",Lisburn,"BFPO 801","Northern Ireland",,,"20151125-ArmyHQ4.00046_Defform_8.doc 20151028-ArmyHQ4.00046_SC3_Contract.doc 20151123-ArmyHQ4.00046_Schedule_2_Annex_A_Pricing.xls 20151125-ArmyHQ4.00046_Defform_10.doc ",,,01/01/2016,31/12/2019,16/11/2015,NO,,Yes,No,No,Services,615000,0,22/12/2015,615000,"[The National Rifle Association|National Shooting Centre, Bisley, Brookwood GU24 0PB|||No|No]",,01/01/2016,31/12/2019," ",
RM1557/CCT811,Contract,"MINISTRY OF DEFENCE",Awarded,2019-11-08T13:49:19Z,"Military Messaging","Military Messaging",,,"South West","32000000 ","Ann Jones",ann.jones456@mod.gov.uk,"MoD - Information, Systems and Services",,"Corsham, Wiltshire","SN13 9NR",England,,,"20191108-RM1557_CCT811_Military_Messaging_PDF_Version-OS.pdf "," ",,04/11/2019,15/11/2019,11/10/2019,NO,,Yes,No,No,Services,16600,0,30/10/2019,16600,"[SQR Systems|Cannon Place,
78 Cannon Street,
London,
EC4N 6AF|COMPANIES_HOUSE|7463700|Yes|No]",,04/11/2019,15/11/2019,"CallOffFromFrameworkAgreement ",
SSROC47/2,Contract,"SINGLE SOURCE REGULATIONS OFFICE",Awarded,2016-12-15T13:44:27Z,"Military Advice Services Framework","Advice and analysis in relation to the subject matter of contracts to which the Defence Reform Act 2014 applies. Military advice services will include providing strategic advice and analysis on military related topics. These services will require significant knowledge of the defence industry, both in the UK and worldwide. Areas of support and advice required may include but are not restricted to:
a) Qualitative analysis capabilities including experience to assist in understanding procurement and manufacture, such as: 
i) technical understanding on what is being procured and the associated risks;
ii) operational knowledge of aspects of the Front Line Commands and the MOD and the uses of the equipment in question;
iii) practical application of military knowledge in weapons and equipment; and
iv) understanding of the manufacture methods of specific equipment types.
b) Quantitative analysis of risk in a defence industry context, including its application to the cost risk adjustment as part of the SSRO’s profit rate methodology.",,,London,"75000000 ","Ian Pankhurst",tenders@ssro.gov.uk,"Finlaison House,  15–17 Furnival Street",,London,"EC4A 1AB",England,02037714766,,"Military Advice Services Framework - Statement of conduct.docx Military Advice Services Framework - ITT.docx Military Advice Services Framework - Pricing Schedule.docx Military Advice Services Framework - Brief.docx Military Advice Services Framework - Terms and Conditions.docx Military Advice Services Framework - Response to clarification questions.docx Military Advice Services Framework - Form of Tender.docx Military Advice Services Framework - Responses to questions.docx ",,,20/10/2016,19/04/2018,26/09/2016,YES,SSROC47,Yes,No,No,Services,0,80000,24/10/2016,80000,"[RED Scientific Ltd|1 Oriel Court, Omega Park, Alton, Hampshire, GU34 2YT.|||No|No]",,07/12/2016,06/06/2018,"Other ",
BIP58548892,Contract,"Ministry of Defence, C&C, Other",Closed,2017-12-01T14:15:11Z,"Military Operational Surgical Training","Delivery of Military Operational Surgical Training (MOST)",,,Scotland,"85121200 ",,DefComrclCC-JFC7a@mod.uk,"Def Comrcl CC JFC7a","Room1.2.24, Kentigern House",Glasgow,"G2 8EX",UK,+441412242958,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Glasgow: Medical specialist services.'.",01/03/2018,28/02/2021,02/01/2018,NO,,Yes,No,No,Services,0,0,,,,,,,"Open ",
700006161,Contract,"MINISTRY OF DEFENCE",Awarded,2019-07-01T13:59:46Z,"Military Working Dogs Underwater Treadmill Hydrotherapy Unit & Maintenance Contract","This contract is for the purchase of a Canine Hydrotherapy Underwater Treadmill with a 3 year maintenance agreement  for Military working dogs.",,,"East Midlands","31600000 37441100 ","Clive Raymer",clive.raymer683@MOD.UK,"ARMYHQ Commercial,","Monxton Rd",Andover,"SP11 8HJ",England,"01264 381326",,"20190616-Dog Treadmill contract.pdf ",,,22/07/2019,31/08/2022,14/05/2019,NO,,Yes,No,No,Services,37000,0,14/05/2019,37027,"[Tudor Treadmills|Drishaun House 
Newhall Road 
Lower Don Valley 
Sheffield 
South Yorkshire 
S9  2QJ|COMPANIES_HOUSE|06939991|Yes|No]",,22/05/2019,31/08/2022,"CompetitiveQuotationNonOJEU ",
FTSD&E/PC4/001,Contract,"MINISTRY OF DEFENCE",Awarded,2015-06-19T10:42:48Z,"Military Capability Output Costing (MCOC) Transition to Business as Usual","This notice serves to announce the issue of Invitations to Tender for the requirement detailed herein, and is not an opportunity to express an interest. It is published in line with the Govt's Transparency agenda",,,"South West","71244000 ","Defence Commercial Proc4c",DefComrclCC-ArmyHQ-Proc4Mbox@mod.uk,"Rm G6, Bldg 114","Thiepval Barracks",Lisburn,"BFPO 801","Northern Ireland",,,"20150527-FTSD&E.P4C.001_SNIT.doc 20150527-FTSD&E.P4C.001_SNIT_Anx_B_Eval_Process.doc 20150527-FTSD&E.P4C.001_SNIT_Anx_B_App_1.doc 20150527-FTSD&E.P4C.001_SNIT_Anx_C_Clar_Pro.xls 20150527-FTSD&E.P4C.001_Sch_3_Anx_B.doc 20150527-FTSD&E.P4C.001_Sch_3_Anx_A.doc 20150527-FTSD&E.P4C.001_Sch_2_Pricing.doc 20150527-FTSD&E.P4C.001_Sch_3_TOF_Redacted.doc 20150527-FTSD&E.P4C.001_Sch_1_SOR.doc 20150527-FTSD&E.P4C.001_SNIT_Anx_A_ROR.doc ",,,01/08/2015,31/07/2017,22/06/2015,NO,,Yes,No,No,NotApplicable,1920000,0,25/08/2015,2153225,"[Parity Solutions Ltd|Warnford Court, 29 Throgmorton Street, London EC2N 2AT|||No|No]",,01/09/2015,31/08/2017,"Restricted ",
BIP58117259,Contract,"Ministry of Defence, C&C, Other",Closed,2017-11-09T08:36:09Z,"Military Instrument Flight Procedures Maintenance and Safeguarding","Qualified Flight Procedures Design Services. The MOD requires the appointment of a Qualified Procedure Design Company  to support its portfolio of IFPs across 27 aerodromes in the UK and abroad.",,,London,"34963000 ",,ina.temirzhanova100@mod.gov.uk,"Abbey wood",,Bristol,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Instrument Landing System (ILS).'.",01/04/2018,30/04/2021,06/12/2017,NO,,Yes,No,No,Services,1,1,,,,,,,"Restricted ",
BIP59203066,Contract,"Ministry of Defence, C&C, Other",Closed,2017-12-23T12:03:09Z,"Military Operational Surgical Training","Text to be corrected in the original notice:
        Place of text to be modified: Date
        Instead of: 02/01/2018 Time: 10:00
        Read: 31/01/2018 Time: 10:00
        Other additional information: The Authority reserves the right to amend any condition related to security of information to reflect any changes in national law or government policy.  If any contract documents are accompanied by instructions on safeguarding classified information (e.g. a Security Aspects Letter), the Authority reserves the right to amend the terms of these instructions to reflect any changes in national law or government policy, whether in respect of the applicable protective marking scheme, specific protective markings given, the aspects to which any protective marking applies, or otherwise.  The link below to the Gov.uk website provides information on the Government Security Classification.
        
        https://www.gov.uk/government/publications/government-security-classifications
        
         Advertising Regime OJEU:- This contract opportunity is published in the Official Journal of the European Union (OJEU),the MoD Defence Contracts Bulletin and www.contracts.mod.uk
        Medical specialist services.",,,"Any region","85121200 ",,DefComrclCC-JFC7a@mod.uk,"Def Comrcl CC JFC7a","Room1.2.24, Kentigern House",Glasgow,"G2 8EX",UK,+441412242958,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Glasgow: Medical specialist services.'.",01/03/2018,01/03/2021,31/01/2018,NO,,Yes,No,No,Services,0,0,,,,,,," ",
BIP61512725,Contract,"Ministry of Defence, C&C, Other",Awarded,2018-04-13T11:45:22Z,"Military Instrument Flight Procedures Maintenance and Safeguarding","Qualified Flight Procedures Design Services. The MOD requires the appointment of a Qualified Procedure Design Company  to support its portfolio of IFPs across 27 aerodromes in the UK and abroad.",,,London,"34963000 ",,ina.temirzhanova100@mod.gov.uk,"Abbey wood",,Bristol,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Instrument Landing System (ILS).'.",01/04/2018,30/04/2021,16/03/2018,NO,,Yes,No,No,Services,1,1,16/03/2018,1300000,"[Osprey Consulting Service  Limited|Suite 10, the Hub
        Fowler Avenue
        Farnborough
        GU14 7JP|NONE||No|No]",,01/04/2018,30/04/2021,"Restricted ",
